name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
Kareem's - Salt Lake , Sector 5,1000+ ratings,52,PS Srijan Corporate Park; Plot G-2; Block GP; Retail Unit 2; Tower 1; Sector 5; Salt Lake, Salt Lake,['Biryani' 'Mughlai'],₹1100 FOR TWO,,,
Aahar Restaurant,Bidhannagar,100+ ratings,44,Ec market;shop no7;salt lake;sec 1;kolkata64.,Outside EC Market,['Indian' 'Chinese'],₹400 FOR TWO,,,
Super Sub Deli,Salt Lake,Too Few Ratings,43,CF-335 SALT LAKE SECTOR 1 KOLKATA WARD NO 31 BIDHANANAGR  700064,Salt Lake,['Fast Food'],₹200 FOR TWO,,,
THE ROLL S WORLD,Salt Lake,Too Few Ratings,48,BF-186; Salt lake; Sector 1; bhidanagar rajharhat municipal corporation north twenty four parganas west bengal-700064.,Salt Lake,['Snacks'],₹150 FOR TWO,,,
Ambrosia Restaurant & Bar,Bidhannagar,Too Few Ratings,54,DD -24 A Saltlake Sector 1; Sector 1; Salt Lake,Near The Sonnet Hotel,['Indian' 'Tandoor' 'Chinese'],₹450 FOR TWO,,,
Santa's Fantasea - Tribal & Seafood,Bidhannagar,100+ ratings,44,BF 189; Near Swimming Pool; Sector 1; Salt Lake,Sector 1,['Seafood' 'Chinese' 'Thai' 'North Eastern' 'Desserts'],₹800 FOR TWO,,,
Mirch Masala,Salt Lake,20+ ratings,41,BIDHANAGAR SALT LAKE CITY CENTRE 1; DC BLOCK; SECTOR - 2 WARD NO - 40 KOLKATA - 700064; WARD NO- 40; BIDHANAGAR-RAJARHAT MUNICIPAL CORPORATION; NORTH TWENTY FOUR PARGANAS; WEST BENGAL - 700064,Salt Lake,['Chinese' 'North Indian' 'Biryani'],₹200 FOR TWO,,,
Sigree,Bidhannagar,20+ ratings,64,CF-326; SECTOR-1; GROUND FLOOR; SALTLAKE,Sector-1,['North Indian' 'Biryani'],₹900 FOR TWO,,,
Caravan Cafe,Salt Lake,100+ ratings,53,DC 27/26; Near City Centre 1; Sector 1; Salt Lake; Kolkata-700064,Salt Lake,['Continental' 'Italian' 'American'],₹500 FOR TWO,,,
8th Day Cafe & Bakery,Salt Lake,50+ ratings,51,FE-8; Sector III; Bidhannagar Kolkata  - 700106,Salt Lake,['Fast Food' 'American' 'Bakery'],₹800 FOR TWO,,,
8th Day Cafe & Bakery,Salt Lake,50+ ratings,51,FE-8; Sector III; Bidhannagar Kolkata  - 700106,Salt Lake,['Fast Food' 'American' 'Bakery'],₹800 FOR TWO,,,
China Belly By Wow! Momo,Biddhanagar,100+ ratings,53,UNITA;Ground Floor; Plot No.K1; BlockEP &amp;GP; SectorV; Saltlake;City; Kolkat 700091; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; NorthTwenty Four,Biddhanagar,['Chinese' 'Tibetan' 'Asian' 'Fast Food' 'Beverages' 'Snacks' 'Continental' 'Desserts'],₹300 FOR TWO,,,
Aalia Biryani, Salt Lake,100+ ratings,39,Shop No-49; Naya Patty; Nutun Bazar; Sector 5; Salt Lake; Kolkata,Sector 5,['Biryani'],₹300 FOR TWO,,,
Rollick Ice Creams, Cakes & Desserts,100+ ratings,38,AD 62 Sector 1; Salt lake. Kolkata,Near BD Bus stop,['Ice Cream' 'Desserts' 'Beverages' 'Ice Cream Cakes'],₹150 FOR TWO,,,
Baskin Robbins,Bidhannagar,100+ ratings,37,BF 23; Sector 1; Salt lake. Kolkata- 700064,Sector 1,['Desserts' 'Ice Cream'],₹400 FOR TWO,,,
Pabrai's Fresh and Naturelle Ice Cream,Sector 1,100+ ratings,34,DC 27/26; Near City Centre 1; Sector 1; Salt Lake; Kolkata; next to Balle Balle Dhaba,Sector 1,['Ice Cream' 'Desserts' 'Beverages'],₹200 FOR TWO,,,
 Conclave at Afraa,Bidhannagar,20+ ratings,55,CITY CENTRE; BLOCK DC; SECTOR I,Salt Lake City Centre,['Italian' 'Indian' 'Continental'],₹850 FOR TWO,,,
6 Ballygunge Place Sector 1,Bidhannagar,100+ ratings,51,DD 31A; Sector 1; Salt Lake,Sector 1,['Bengali' 'Seafood' 'Desserts'],₹1000 FOR TWO,,,
Shanghai Social,Salt Lake,100+ ratings,51,DC 27/26; Near City Centre 1; Sector 1; Salt Lake; Kolkata-700064,Salt Lake,['Chinese' 'Asian'],₹400 FOR TWO,,,
Asia Kitchen By Mainland China,Bidhannagar,20+ ratings,64,2nd Floor; Block E; City Centre 1; Sector 1; Salt Lake; Kolkata,Sector 1,['Asian' 'Chinese' 'Oriental'],₹850 FOR TWO,,,
Teekha,Salt Lake,50+ ratings,46,CF-333; CF Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Indian' 'Mexican' 'Street Food' 'Beverages' 'Chaat'],₹250 FOR TWO,,,
The Cake Xpress,Bidhannagar,20+ ratings,47,CF-211; Saltlake Sec-1;  Swimming Pool Area  700064,Salt Lake,['Bakery'],₹300 FOR TWO,,,
Hit Wicket,Bidhannagar,Too Few Ratings,52,FE 13; Sector 3; Salt Lake; Kolkata,Near Central Park,['Indian' 'Chinese' 'Continental'],₹500 FOR TWO,,,
Don Giovanni's Salt Lake,Bidhannagar,100+ ratings,60,BD 46; Sector 1; Salt Lake,Behind HDFC Bank ATM,['North Indian' 'Chinese' 'Italian' 'Pizzas' 'Thai'],₹1500 FOR TWO,,,
Shawarma Nation,Bidhannagar,100+ ratings,42,City Centre 1 site; 1st Avenue; BE Block; Sector 1; Bidhannagar; Kolkata; West Bengal; India,Salt Lake,['Lebanese' 'Snacks' 'Indian' 'Mexican' 'Healthy Food' 'Continental'],₹500 FOR TWO,,,
The Burger Factory by Don Giovannis,Salt Lake,Too Few Ratings,57,BD-46;SALT-LAKE;WARDNO41;KOLKATA700068;WESTBENGAL,Salt Lake,['Continental'],₹800 FOR TWO,,,
Royal India Restaurant,Bidhannagar,1000+ ratings,44,Np-214 opposite technopolis; Near induslnd ATM Sector 5 salt lake,Opposite Technopolis,['Biryani' 'Chinese' 'Tandoor' 'North Indian'],₹300 FOR TWO,,,
Krazee Kulcha,Bidhannagar,Too Few Ratings,46,cf-211;salt lake city;sector-1,bidhannagar,['Indian'],₹400 FOR TWO,,,
teknix,Salt Lake,Too Few Ratings,47,bf-45;salt lake;sector-1; BF Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Chinese'],₹200 FOR TWO,,,
Balaram Mullick & Radharaman Mullick Sweets-Sector V,Bidhannagar,500+ ratings,44,PLOT NO. G-1;BLOCK-EP&GP; INFINITY BENCHMARK;GROUND FLOOR;SECTOR-V;SALT LAKE; KOLKATA-700091,INFINITY BENCHMARK,['Desserts' 'Sweets'],₹200 FOR TWO,,,
Haldiram's,Bidhannagar,500+ ratings,49,Infinity Think Tank Gate no. 2; Plot A3; GP Block; Sector 5; Salt Lake,Near Infinity Think Tank,['Sweets' 'Snacks' 'Fast Food'],₹300 FOR TWO,,,
Galawat,Bidhannagar,100+ ratings,42,BE 97; SECTOR 1; NEAR KWALITY BUS STOP; KOLKATA- 700064,Salt Lake,['Biryani' 'Kebabs' 'Lucknowi' 'North Indian'],₹200 FOR TWO,,,
TWISTY,Bidhannagar,50+ ratings,39,BD-199 SECTOR 1 SALT LAKE; WARD NO-39; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal; 700064,Salt Lake,['Beverages' 'Ice Cream' 'Desserts'],₹300 FOR TWO,,,
Cafe 82,Salt Lake,Too Few Ratings,46,CJ 26; Ground Floor; CJ Block; Sector II; Bidhannagar; Kolkata; West Bengal 700091; India,Salt Lake,['Indian'],₹500 FOR TWO,,,
Loafers Cafe,Salt Lake,100+ ratings,44,Plot No36; Block-DC; Near City Centre 1; Sector 1; Salt Lake; Kolkata-700064,Salt Lake,['Desserts' 'Bakery' 'Italian' 'Pizzas' 'Pastas'],₹200 FOR TWO,,,
