name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
ZAIQAA,Dumdum,Too Few Ratings,63,26/H/47; DUM DUM ROAD; KOLKATA;  BOROUGH- I; KOLKATA MUNICIPAL  CORPORATION; Kolkata; West Bengal -  700002,Dumdum,['Chinese' 'North Indian' 'Biryani' 'Kebabs'],₹300 FOR TWO,,,
HOT STUFF PIZZA,Rajarhat,Too Few Ratings,56,JODTHBHIM HATGACHI K.L.C BAMANGHATA BHANGAR-II SOUTH TWENTY FOUR PARGANAS WESTBENGAL-700156,Rajarhat,['Pizzas' 'Pastas' 'Fast Food'],₹400 FOR TWO,,,
THE BIG CHEESE,Rajarhat,Too Few Ratings,56,JODTHBHIM HATGACHI K.L.C BAMANGHATA BHANGAR-II SOUTH TWENTY FOUR PARGANAS WESTBENGAL-700156,Rajarhat,['Pizzas'],₹400 FOR TWO,,,
PIZZA HOUSE,Rajarhat,Too Few Ratings,56,JODTHBHIM HATGACHI K.L.C BAMANGHATA BHANGAR-II SOUTH TWENTY FOUR PARGANAS WESTBENGAL-700156,Rajarhat,['Pizzas' 'Italian' 'Pastas'],₹400 FOR TWO,,,
The Spicy Corner (The Magnum House),Kestopur,Too Few Ratings,56,1 KESTOPUR NAZRUL PARK KOLKATA- 700059; WARD NO-18; BIDHANNAGAR- RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700059,Kestopur,['North Indian' 'Chinese' 'Snacks'],₹200 FOR TWO,,,
HAJI BIRYANI HOUSE,Dumdum,Too Few Ratings,63,11/71; NAGENDRA NATH ROAD; P.S.- DUMDUM; KOLKATA-700028; WARD NO-23; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700028,Dumdum,['Biryani' 'North Indian'],₹250 FOR TWO,,,
PIZZA CORNER,Rajarhat,Too Few Ratings,56,JODTHBHIM HATGACHI K.L.C BAMANGHATA BHANGAR-II SOUTH TWENTY FOUR PARGANAS WESTBENGAL-700156,Rajarhat,['Pizzas' 'Pastas' 'Fast Food'],₹400 FOR TWO,,,
Choco Booger,Central Kolkata,Too Few Ratings,68,23A; Pottery Rd; Seal Lane; Entally; Kolkata; West Bengal 700015; India,Central Kolkata,['Bakery' 'Desserts'],₹200 FOR TWO,,,
Deli Bread,Paikpara,20+ ratings,60,26/33; Dum Dum Rd Kolkata; West Bengal 700002; India,Dumdum,['Indian' 'Rajasthani' 'North Indian' 'Tandoor' 'Snacks'],₹250 FOR TWO,,,
The Shake Factory,Topsia,Too Few Ratings,78,Arihant Benchmark; 113 F Matheswartolla Road; Topsia; Kolkata,Arihant Benchmark,['Beverages'],₹400 FOR TWO,,,
The Shake Factory,Topsia,Too Few Ratings,78,Arihant Benchmark; 113 F Matheswartolla Road; Topsia; Kolkata,Arihant Benchmark,['Beverages'],₹400 FOR TWO,,,
RISHIKA B.TECH FOODIE ZONE,BAGUIATI,Too Few Ratings,60,BLOCK-D 345 S-2 GROUND FLOOR; WARD NO-19 BIDHANNAGAR- RAJARHAT MUNICIPAL CORPORATION; NORTH  NORTH. TWENTY FOUR PARGANAS WEST BENGAL,BAGUIATI,['South Indian' 'Snacks'],₹200 FOR TWO,,,
Cafe Aahare 74,Dumdum,50+ ratings,63,131/2 Debinibas Road; Kolkata; Ward No-22; South Dum Dum Muncipality; North Twenty Four Parganas; West Bengal,Dumdum,['Salads' 'Chinese'],₹300 FOR TWO,,,
Hatakhunti,Dumdum,20+ ratings,68,13; Ravindra Nath Taigore Rd; Bediapara; South Dumdum; West Bengal 700077; India,Dumdum,['Chinese' 'Biryani' 'Snacks'],₹100 FOR TWO,,,
HUMMY 2 CAKE,Baguihati,Too Few Ratings,67,IG-6/2; Ganapativihar; p.o aswininagar; north24parganas; kolkata - 700159; District - North Twenty Four Parganas; STATE - West Bengal,Lake Town,['Bakery' 'Desserts' 'Sweets'],₹300 FOR TWO,,,
Food Junction,South Dumdum,100+ ratings,58,101/1; Sahid Sunil Sen sarani. Kolkata-700028.; Kolkata,Near UCO Bank (Dakshinpara Branch),['Indian' 'Chinese' 'Tandoor' 'Biryani' 'Snacks'],₹300 FOR TWO,,,
Smart Cook,Bahiragath Colony,Too Few Ratings,62,37; DUM DUM ROAD (GTR); West Bengal700074; WARD NO-14; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700074,Bahiragath Colony,['Chinese' 'Fast Food' 'Snacks' 'Tandoor' 'Pizzas' 'Pastas' 'Burgers' 'Continental'],₹100 FOR TWO,,,
HOME SLICE PIZZA,Rajarhat,Too Few Ratings,60,Bhangar more; near maa tara mudi bhandar jodhbhim new town kolkata rajarhat bishnupur - I rajarhat north twenty four parganas westbengal - 700156,Rajarhat,['Pizzas' 'American' 'Fast Food' 'Snacks'],₹400 FOR TWO,,,
Hesel Food Court,Dumdum,20+ ratings,70,27; Gorakshabasi Road; Nagerbazar; Kolkata,Near Punjab National Bank ATM,['Chinese' 'Indian'],₹300 FOR TWO,,,
PIZZERIA GINO SORBILLO,Rajarhat,Too Few Ratings,55,Bhangar more; near maa tara mudi bhandar jodhbhim new town kolkata rajarhat bishnupur - I rajarhat north twenty four parganas westbengal - 700156,Rajarhat,['Italian' 'Fast Food' 'Chinese'],₹400 FOR TWO,,,
Luigi's Pizzeria,Rajarhat,Too Few Ratings,61,Bhangar more; near maa tara mudi bhandar jodhbhim new town kolkata rajarhat bishnupur - I rajarhat north twenty four parganas westbengal - 700156,Rajarhat,['Pizzas' 'Pastas' 'American' 'Fast Food' 'Snacks'],₹300 FOR TWO,,,
THE COFFEE HOUSE,Rajarhat,Too Few Ratings,55,Bhangar more; near maa tara mudi bhandar jodhbhim new town kolkata rajarhat bishnupur - I rajarhat north twenty four parganas westbengal - 700156,Rajarhat,['Italian' 'Fast Food' 'Chinese' 'Snacks'],₹400 FOR TWO,,,
Burger & Sandwich King,Dumdum,Too Few Ratings,63,422 R N THAKUR ROAD SOUTH DUM DUM BEDIA PARA ; WARD NO-33; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700077,Dumdum,['Fast Food' 'Chinese' 'Italian' 'Combo'],₹150 FOR TWO,,,
PAULIE GEE'S,Rajarhat,Too Few Ratings,55,Bhangar more; near maa tara mudi bhandar jodhbhim new town kolkata rajarhat bishnupur - I rajarhat north twenty four parganas westbengal - 700156,Rajarhat,['Fast Food' 'American' 'Italian' 'Snacks' 'Chinese'],₹400 FOR TWO,,,
The Car SPA Bistro,Tangra,Too Few Ratings,65,20/1B EAST TOPSIA ROAD PRAGATI  MAIDAN; BOROUGH- VII; KOLKATA  MUNICIPAL CORPORATION; Kolkata; West  Bengal - 700046,Tangra,['Fast Food' 'Italian' 'Snacks' 'Beverages' 'Continental'],₹1000 FOR TWO,,,
AFSA NAA,Rajarhat,Too Few Ratings,55,Hatiyara milan pally Ward 13;Bidhannagar;Rajarhat; chinar Park;kolkata  700157,Chinar park,['Fast Food' 'Pizzas' 'Chinese' 'Street Food' 'Beverages'],₹200 FOR TWO,,,
MILKSHAKE,Rajarhat,Too Few Ratings,56,BHANGAR MORE; NEAR MAA TARA MUDI BHANDAR JODTHBHIM NEW TOWN; KOLKATA RAJARHAT BISHNUPUR -I RAJARHAT NORTH TWENTY FOUR PARGANAS WESTBENGAL-700156,Rajarhat,['Beverages'],₹300 FOR TWO,,,
Haazir,South Dumdum,Too Few Ratings,65,311/27. N.N. Road; Chatterjee Bagan; Satgachi; Nagerbazar; WARD NO-23; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal,Satgachi,['Mughlai' 'North Indian' 'Desserts' 'Biryani'],₹350 FOR TWO,,,
THALI @ 99,Netali Pali,Too Few Ratings,83,ADARSHAPALLY ; PURBOPARA ; P.S- NEW TOWN; WARD NO-20; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700159,Rajarhat,['North Indian' 'Chinese'],₹300 FOR TWO,,,
Bahari Ahar,Lake Town,Too Few Ratings,87,Swamiji Nagar; Gouranga Nagar; Hatiara; Newtown; Kolkata; West Bengal 700162; India,Lake Town,['Thalis' 'Indian' 'Chinese' 'Biryani'],₹150 FOR TWO,,,
Cafe Offbeat - Up There,Topsia,Too Few Ratings,72,36/F; Topsia Rd; Topsia; Kolkata; West Bengal 700039,Topsia,['Asian' 'Continental' 'North Indian' 'Thai'],₹1500 FOR TWO,,,
Shree Ganesh Home Kitchen,Lake Town,Too Few Ratings,68,EB-1/7B; Desh Bandhu Nagar; Baguihati; Kolkata; West Bengal 700059; India,Lake Town,['North Indian'],₹150 FOR TWO,,,
Cafe Offbeat Alfresco,UTTAR PANCHANNA GRAM,Too Few Ratings,71,36F; TOPSIA ROAD; EM BYPASS; UTTAR PANCHANNA GRAM; OPPOSITE TRINAMOOL BHAWAN; KOLKATA  - 700039,Ruby Area,['Indian' 'Asian' 'Chinese' 'Beverages' 'Desserts'],₹200 FOR TWO,,,
MITRA'S KITCHEN,Lake Town,Too Few Ratings,80,RGM 223;DAKSHIN MATH RAMKRISH PALLY ;JYANGRA; BAGUIHATI BINA BHAWAN; WARD NO-15; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700059,Lake Town,['North Indian' 'Thalis'],₹300 FOR TWO,,,
NEW BARSHA RESTURANT,Dumdum,20+ ratings,68,1; R.G. AVENUE ; KOLKATA ; SOUTH DUM DUM MUNCIPALITY; NORTH TWENTY FOUR PARGANAS ( WEST BENGAL) ; 700028,Dumdum,['Chinese' 'Thai' 'North Indian' 'Singaporean' 'Desserts' 'Tandoor' 'Ice Cream'],₹300 FOR TWO,,,
Chicken Xperience By Venkys,Baguihati,Too Few Ratings,77,HE 5/1; BAGUIPARA; ASWINIPUR; BAGUIATI; Kolkata; WestBengal; 700159,SALT LAKE,['Fast Food'],₹200 FOR TWO,,,
NORTH STAR HOTEL,Dumdum,Too Few Ratings,65,North Star Hotel; 66/1 Dum Dum Road; Kolkata; West Bengal; India,Dumdum,['Indian' 'Chinese' 'Fast Food'],₹500 FOR TWO,,,
SIMLA HOTEL AND RESTAURANT,Nagerbazar,100+ ratings,59,55; JESSORE ROAD ; NAGER BVAZAR ; KOL-28 OPP- NAGER BAZAR POST OFFICE ; District - North Twenty Four Parganas; STATE - West Bengal - 700028,Chinar Park,['Indian'],₹300 FOR TWO,,,
D'Fatty Panda,Rajarhat,Too Few Ratings,59,Kiosk No A 36; Opposite Unitech Candor Building gate 1; New Town; West Bengal 700156; India,Rajarhat,['Chinese' 'North Indian'],₹250 FOR TWO,,,
KBC-Kolkata Biryani Co,Lake Town,20+ ratings,58,101/1; Sahid Sunil Sen sarani. Kolkata-700028.; Kolkata,Lake Town,['Biryani' 'Mughlai' 'Indian' 'Tandoor' 'Kebabs' 'Snacks'],₹300 FOR TWO,,,
Thali 99,Lake Town,Too Few Ratings,65,ADARSHAPALLY ; PURBOPARA ; P.S- NEWTOWN; WARD NO-20; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION;North Twenty Four Parganas; West Bengal  700159,Lake Town,['Thalis' 'Indian' 'Chinese' 'Seafood' 'Fast Food' 'Snacks'],₹300 FOR TWO,,,
GITA RANIS SUSWADU HESEL,Dum Dum,20+ ratings,76,929/3/1 purba sinthee cross road ; PO Ghughudanga; PS Dumdum; BOROUGH- III; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal; 700030,Dumdum,['Indian'],₹200 FOR TWO,,,
KBC-Kolkata Biryani Co,Lake Town,20+ ratings,58,101/1; Sahid Sunil Sen sarani. Kolkata-700028.; Kolkata,Lake Town,['Biryani' 'Mughlai' 'Indian' 'Tandoor' 'Kebabs' 'Snacks'],₹300 FOR TWO,,,
Thali 99,Lake Town,Too Few Ratings,65,ADARSHAPALLY ; PURBOPARA ; P.S- NEWTOWN; WARD NO-20; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION;North Twenty Four Parganas; West Bengal  700159,Lake Town,['Thalis' 'Indian' 'Chinese' 'Seafood' 'Fast Food' 'Snacks'],₹300 FOR TWO,,,
GITA RANIS SUSWADU HESEL,Dum Dum,20+ ratings,76,929/3/1 purba sinthee cross road ; PO Ghughudanga; PS Dumdum; BOROUGH- III; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal; 700030,Dumdum,['Indian'],₹200 FOR TWO,,,
Zam Zam Restaurant,Entally,1000+ ratings,64,9/1; Noor Ali Avenue; Entally; Park Circus Area; Kolkata,Near Frank Anothony Public School,['Mughlai' 'Biryani'],₹200 FOR TWO,,,
Vadilal Ice Creams,Lake Town,Too Few Ratings,61,MAA TARA ENTERPRISES-55; JESSORE ROAD; NAGER BAZAR; KOLKATA-700028; SOUTH DUMDUM MUNICIPALTY; NORTH 24 PARGANAS; WEST BENGAL-700028,Lake Town,['Ice Cream' 'Desserts'],₹200 FOR TWO,,,
Agarwal Veggies,Rajarhat,20+ ratings,55,Chakpachuria;patharghata; rajarhat; New Town; West Bengal 700135; India,Rajarhat,['Indian'],₹250 FOR TWO,,,
Kolkata Pavilion,Nagerbazar,Too Few Ratings,65,37/A GB road; Kolkata- 700028. Opposite of Nabojubo sommiloni club..,Chinar Park,['Bengali' 'Chinese' 'Biryani'],₹200 FOR TWO,,,
Sip A Tale Nagerbazar,Lake Town,Too Few Ratings,63,11; Dum Dum Road; Nagarbazar; Kolkata-700074,Lake Town,['Fast Food' 'Salads' 'Pastas' 'Beverages'],₹200 FOR TWO,,,
LOVER FOOD POINT,Eco Park Newtown,Too Few Ratings,58,JOTHBHIM;HATGACHA;K.L.C;BAMANGHATA;BHANGAR-2;SOUTH 24 PARGANAS;WEST BENGAL,Eco Park Newtown,['Chinese' 'Bengali' 'Indian' 'Fast Food' 'Snacks' 'Thalis'],₹200 FOR TWO,,,
BURGER PANDEY,Central Kolkata,Too Few Ratings,72,10; Dr Lal Mohan Bhattacharya Rd; Entally; Kolkata; West Bengal 700014; India,Central Kolkata,['American' 'Beverages' 'Desserts' 'Snacks'],₹400 FOR TWO,,,
MAMONIR RANNAGHOR,Eco Park Newtown,Too Few Ratings,54,JOTHBHIM;HATGACHA;K.L.C;BAMANGHATA;BHANGAR-2;SOUTH 24 PARGANAS;WEST BENGAL,Eco Park Newtown,['Chinese' 'Bengali' 'South Indian' 'North Indian' 'Snacks'],₹200 FOR TWO,,,
The Grid Cafe & Brewery Kitchen,Central Kolkata,20+ ratings,73,86A Topsia Road (S); Haute Street Building; Kolkata 700046,Central Kolkata,['Continental' 'Italian' 'Chinese' 'Indian'],₹1000 FOR TWO,,,
Chai pani nasta,Central Kolkata,Too Few Ratings,71,145/H/11; ANANDA PALIT ROAD; GROUND FLOOR; WD-55; BR-VI; BOROUGH-VI; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal,Central Kolkata,['Chinese' 'Snacks' 'Pastas'],₹250 FOR TWO,,,
BABUMOSHAI,Dumdum,Too Few Ratings,77,965; JESSORE ROAD; DUM DUM; WARD NO 21; SOUTH DUM DUM MUNICIPALITY ; NORTH TWENTY FOUR PARGANAS; WEST BENGAL,Dumdum,['North Indian' 'Indian' 'Mughlai' 'Snacks'],₹400 FOR TWO,,,
SHAM SAVERA,Kestopur,Too Few Ratings,67,Gouranga Residency Shop No11 ; 12 Block II ; Ground Floor ; Adarshpally ; Bagjola Canal Side Road; WARD NO-21; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700,Kestopur,['Snacks'],₹200 FOR TWO,,,
Grace pav bhaji,Lake Town,Too Few Ratings,64,Baguiati; VIP Rd; Baguiati; Kolkata; West Bengal 700059; India,Lake Town,['South Indian' 'Snacks'],₹10 FOR TWO,,,
Akram's Biryani,Dumdum,Too Few Ratings,68,1 DUM DUM ROAD KOLKATA; WARD NO-22. SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal 700074,Dumdum,['Biryani' 'Indian' 'Desserts'],₹200 FOR TWO,,,
Shaade Gandhe Bengali,Eco Park Newtown,Too Few Ratings,57,JOTHBHIM; HATGACHA; K.L.C; BAMANGHATA; BHANGAR-II; SOUTH TWENTY FOUR PARGANAS; WEST BENGAL- 700059,Eco Park Newtown,['Beverages' 'Chinese'],₹250 FOR TWO,,,
Breakfast ki Test,Eco Park Newtown,Too Few Ratings,61,JOTHBHIM; HATGACHA; K.L.C; BAMANGHATA; BHANGAR-II; SOUTH TWENTY FOUR PARGANAS; WEST BENGAL- 700059,Eco Park Newtown,['Biryani' 'Chinese' 'Bengali' 'South Indian'],₹200 FOR TWO,,,
JUST FEW MINUTE,Eco Park Newtown,Too Few Ratings,58,JOTHBHIM;HATGACHA;K.L.C;BAMANGHATA;BHANGAR-2;SOUTH 24 PARGANAS;WEST BENGAL,Eco Park Newtown,['Chinese' 'North Indian' 'South Indian'],₹200 FOR TWO,,,
THE SOUTH INDIAN DOSA CAFE,Eco Park Newtown,Too Few Ratings,58,JOTHBHIM;HATGACHA;K.L.C;BAMANGHATA;BHANGAR-2;SOUTH 24 PARGANAS;WEST BENGAL,Eco Park Newtown,['Chinese' 'Bengali' 'Fast Food'],₹200 FOR TWO,,,
BONG BHOJ ,Dumdum,Too Few Ratings,66,28J; NORTHERN AVENUE; BOROUGH- I;  KOLKATA MUNICIPAL CORPORATION;  Kolkata; West Bengal - 700030,Dumdum,['Fast Food' 'Snacks'],₹200 FOR TWO,,,
Shree Kumaran South Indian Food,TOPSIA (BYEPASS),Too Few Ratings,71,29/4; Ambedkar sarani; MAHESHTALA MUNICIPALITY; South Twenty Four Parganas; ; West Bengal; 700039,Tangra,['South Indian'],₹200 FOR TWO,,,
CALCUTTA TAVERN,Dumdum,Too Few Ratings,66,28J; NORTHERN AVENUE; BOROUGH- I; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal - 700030,Dumdum,['Snacks'],₹200 FOR TWO,,,
FOOD FUSION PIZZA,Eco Park Newtown,Too Few Ratings,58,JOTHBHIM;HATGACHA;K.L.C;BAMANGHATA;BHANGAR-2;SOUTH 24 PARGANAS;WEST BENGAL,Eco Park Newtown,['Bengali' 'North Indian' 'Chinese' 'Snacks' 'Thalis'],₹200 FOR TWO,,,
INDIAN BEST RASOI RESTAURANT,Eco Park Newtown,Too Few Ratings,60,JOTHBHIM;HATGACHA;K.L.C;BAMANGHATA;BHANGAR-2;SOUTH 24 PARGANAS;WEST BENGAL,Eco Park Newtown,['Chinese' 'North Indian' 'Biryani' 'South Indian'],₹200 FOR TWO,,,
Masala Dhaba,Ruby Area,Too Few Ratings,60,210; Eastern Metropolitan Bypass; near Trinamool Bhawan; Uttar Panchanna Gram; Kolkata; West Bengal 700100; India,Ruby Area,['Chinese' 'North Indian' 'Snacks' 'Beverages' 'Salads'],₹500 FOR TWO,,,
Ground Zero,Central Kolkata,Too Few Ratings,71,9/1/1; Wizard House; Topsia Road; Topsia; Kolkata,Central Kolkata,['North Indian' 'Chinese' 'Continental' 'Italian'],₹1500 FOR TWO,,,
CABIN CUTLET,Dumdum,Too Few Ratings,65,28J; NORTHERN AVENUE; BOROUGH- I;  KOLKATA MUNICIPAL CORPORATION;  Kolkata; West Bengal - 700030,Dumdum,['Snacks'],₹300 FOR TWO,,,
I'M Hungry,Baguiati Chawl Potty,Too Few Ratings,78,Late Prasad Roy Smrity Market ; Baguiati Chawl Potty ; Shop Number - 25 ; ; BOROUGH-IV; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal - 700055,Baguiati Chawl Potty,['Chinese'],₹200 FOR TWO,,,
Biryani.com,Lake Town,Too Few Ratings,64,16/352;JYANGRA;SUKANTA PALLY; P.S.BAGUIATI;KOLKATA - 700059; WARD NO-13; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700059,Lake Town,['Biryani' 'North Indian' 'Snacks' 'Beverages'],₹300 FOR TWO,,,
Mom Chef,Lake Town,Too Few Ratings,65,HG - 7 BAGUIATI ; SACHINDRALAL SARANI,Lake Town,['Indian' 'Thalis'],₹300 FOR TWO,,,
The Ice Cream Company,Chinar Park,Too Few Ratings,61,20; Thakurpara Lane;; WARD NO-14; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700157,Chinar Park,['Beverages' 'Waffle' 'Desserts' 'Salads' 'Fast Food' 'Snacks'],₹200 FOR TWO,,,
CAKE AFFAIR,Central Kolkata,Too Few Ratings,71,Shop No. 9; Fomra Tower; A.J.C.Bose Road; Near Entally Market; Entally; Kolkata; BOROUGH- III; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal - 700017,Central Kolkata,['Bakery'],₹200 FOR TWO,,,
The Irish Brewery A Unit Of The Fortune Bakery,Dumdum,Too Few Ratings,70,14; Dum Dum Rd; Ward Number 22; Motijheel; Amarpalli; Dum Dum; Kolkata; West Bengal 700074; India,Dumdum,['Beverages' 'Italian-American' 'Fast Food' 'Salads' 'Desserts'],₹400 FOR TWO,,,
UTSHA'S KITCHEN,Dumdum,Too Few Ratings,66,366; Dr Meghnad Saha Rd; Motijheel; Lakshminagar; Dum Dum; Kolkata; West Bengal 700074; India,Dumdum,['Indian'],₹241 FOR TWO,,,
METRO ICE CREAM & WAFFLE,Chinar Park,Too Few Ratings,61,20; Thakurpara Lane;; WARD NO-14; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700157,Chinar Park,['Chinese' 'Beverages' 'Bakery'],₹300 FOR TWO,,,
Spice Edge,Dum Dum,100+ ratings,67,133; Rastraguru Avenue; Clivehouse; DumDum; Kolkata - 700028 Landmark : Opposite to Children's Park Or Kalakali Community Hall. ,Opposite Children's Park,['Indian' 'Chinese' 'Lebanese' 'Beverages'],₹300 FOR TWO,,,
Mom's Kitchen,Chinar Park,Too Few Ratings,76,1/1 Baguihati; Rajarhat Road; Jyangra Chowmatha-700059,Chinar Park,['Chinese' 'Indian'],₹300 FOR TWO,,,
Sanjha Chulha,Uttar Panchanna Gram,100+ ratings,62,88; Uttar Panchanna Gram; Ruby Hospital Area; Kolkata,Near Mustard,['North Indian' 'Biryani' 'Indian' 'Chinese'],₹400 FOR TWO,,,
AFC Food Funda,Ruby Area,50+ ratings,69,42/168 Chowbaga J.L No.9 Street; Martin Para; Uttar Panchanna Gram; Kolkata; West Bengal 700100; India,Ruby Area,['North Indian' 'American' 'Beverages' 'Chinese'],₹150 FOR TWO,,,
Indian Biryani House,Ruby Area,Too Few Ratings,58,9A/1;MARTINPARA UTTAR  PANCHANNOGRAM; GOPALPUR;  CANNING-I; South Twenty Four Parganas;  West Bengal-700100,Ruby Area,['Biryani' 'Beverages'],₹200 FOR TWO,,,
A2Z KITCHEN,Lake Town,Too Few Ratings,80,39-A; Satgachi; Dum Dum; Kolkata; West Bengal 700055; India,Lake Town,['Fast Food' 'Combo' 'Juices'],₹300 FOR TWO,,,
S4 SANDWICHES,Baguihati,Too Few Ratings,74,Zarda Bagan; Jyangra; Baguihati; Kolkata; West Bengal; India,Chinar Park,['Fast Food' 'Salads' 'Healthy Food' 'Juices' 'Beverages'],₹300 FOR TWO,,,
BIRYANI BY KOLKATA@99,Chinar Park,Too Few Ratings,65,158/1; VIP Road Deshbandhunagar; Jora Mandir; Landmark : Hotel Banerjee International; Raghunathpur; Baguiati; Kolkata; West Bengal 700059; India,Chinar Park,['Indian' 'Biryani'],₹250 FOR TWO,,,
TREAT & BITE,Sinthee,50+ ratings,72,125;  Ganapati Sur Sarani;Kolkata-700030,Dumdum,['Chinese' 'Tandoor' 'Snacks' 'North Indian' 'Nepalese' 'Biryani'],₹200 FOR TWO,,,
ANUPAMA CLOUD KITCHEN,Taltala,20+ ratings,79,53/1; Durga Charan Dr. Rd.; Kolkata- 700 014; Moulali; Taltala; near Entally.,Entally Market,['Indian' 'Chinese'],₹400 FOR TWO,,,
Khai Khai Bangalir Thali,Chinar Park,Too Few Ratings,59,DB 4/2; Railpukur Road; Desh Bandhu Nagar; Baguiati; Kolkata; West Bengal 700059; India,Chinar Park,['Thalis' 'Bengali'],₹200 FOR TWO,,,
SAM DA DHABA,Baguiati,20+ ratings,70,158/1; VIP ROAD; DESHBANDHUNAGAR; JORA MANDIR; BAGUIATI; NEAR BANERJEE INTERNATIONAL; KOLKATA; WARD NO-9; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal; 700059,Lake Town,['South Indian'],₹300 FOR TWO,,,
Trill,Chinar Park,20+ ratings,62,Swapnil Apartment; Rajarhat Road; Near Baguihati Joramandir;  Taltala; Jyangra; Baguiati; Kolkata; West Bengal 700059; India,Chinar Park,['Fast Food' 'Chinese' 'Continental' 'Snacks'],₹600 FOR TWO,,,
Amma's Pure Veg,Baguihati,20+ ratings,69,CA 6/18; Desh Bandhu Nagar; Baguiati; Kolkata; West Bengal 700059; India,Lake Town,['Indian' 'Rajasthani' 'Punjabi' 'Thalis' 'Desserts' 'Beverages'],₹250 FOR TWO,,,
MAA TARA FOOD KITCHEN,Lake Town,Too Few Ratings,59,52/6; PARVATI BIHAR; VIP ROAD; BAGUIATI; ; WARD NO-11; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal; 700059,Lake Town,['South Indian' 'Indian' 'Chinese'],₹300 FOR TWO,,,
Nisha's Veg Kitchen,Baguihati,50+ ratings,74,CA-6/18; Deshbandhu Nagar; Baguihati; Kolkata,Lake Town,['Indian' 'Rajasthani' 'Punjabi' 'Thalis' 'Desserts' 'Beverages'],₹300 FOR TWO,,,
PYARE KABAB,Tangra,Too Few Ratings,68,59C; Gulam Jilani Khan Road; Topsia; Kolkata; West Bengal; India,Tangra,['Kebabs' 'Indian'],₹250 FOR TWO,,,
Professional Baker,Lake Town,Too Few Ratings,64,Sulanggari; Hatiara; Kestopur; Kolkata; West Bengal 700159; JANGRAHATIARA-II; RAJARHAT; North Twenty Four Parganas; West Bengal - 700159,Lake Town,['Bakery' 'Pizzas'],₹299 FOR TWO,,,
oh my food,Chinar Park,Too Few Ratings,60,Jora mandir; A/4; Rajarhat Main Rd; Taltala; Jyangra; Baguiati; Kolkata; West Bengal 700059; India,Chinar Park,['Chinese' 'Pastas' 'Fast Food'],₹250 FOR TWO,,,
Hotel Sheldon,Topsia,Too Few Ratings,62,D-37 ; SARADA PALLY; E.M. BYPASS ROAD; TAGORE PARK; OPPOSITE FORTIS; KOLKATA - 700039,Pragati sangha Club,['Chinese' 'Indian'],₹400 FOR TWO,,,
CALCUTTA FOOD MART,Ruby Area,Too Few Ratings,60,92;Uttar Panchanna Gram; Kolkata; West Bengal 700100; India,Ruby Area,['Indian' 'Snacks' 'Chinese'],₹350 FOR TWO,,,
H R RESTAURANT,Entally,20+ ratings,75,1; Sir Syed Ahmed Road Kolkata 700014,Entally,['Biryani' 'Chinese' 'Indian'],₹300 FOR TWO,,,
Chinese Cloud,Chinar Park,Too Few Ratings,61,Swapnil Apartment; Rajarhat Road; Near Baguihati Joramandir;  Taltala; Jyangra; Baguiati; Kolkata; West Bengal 700059; India,Chinar Park,['Chinese' 'Desserts'],₹500 FOR TWO,,,
Grill n Kurry,Chinar Park,Too Few Ratings,62,Swapnil Apartment; Ground Floor; Taltala; Jyangra; Rajarhat; Kolkata; West Bengal 700059; India,Chinar Park,['Indian' 'North Indian'],₹500 FOR TWO,,,
Haji Biryani,SanityTestArea,Too Few Ratings,68,22A/1B Golam Jilani Khan Road (Ward - 66 - Borough-VII)-Kolkata;BOROUGH-VII;KOLKATA MUNICIPAL CORPORATION;Kolkata ;West Bengal-700039,New Area,['Biryani'],₹300 FOR TWO,,,
